id,text
nota1,"Si bien en el texto se indica mediante paréntesis que Andorf es sinónimo de Amberes, esta coincidencia apenas parece ser parte de la escritura fonética de Ulrico. No debe confundirse con la ciudad homónima en la Alemania del Norte"
nota2,España
nota3,Rio de la Plata
nota4,Se refiere al continente americano
nota5,Donde dice Neerlandeses leáse Flamencos
nota6,don Pedro de Mendoza
nota7,"En el calendario litúrgico latino, 1535"
nota8,
nota9,
